[TIME]2016-02-09 12:02:32 ERROR:D:/Build/PHPDof/Extends/Tool/a.class.php&nbsp;Class was not found!
[TIME]2016-02-09 12:02:34 ERROR:D:/Build/PHPDof/Extends/Tool/a.class.php&nbsp;Class was not found!
[TIME]2016-02-09 12:02:35 ERROR:D:/Build/PHPDof/Extends/Tool/a.class.php&nbsp;Class was not found!
[TIME]2016-02-09 12:02:46 ERROR:D:/Build/PHPDof/Extends/Tool/a.class.php&nbsp;Class was not found!
[TIME]2016-02-09 12:02:46 ERROR:D:/Build/PHPDof/Extends/Tool/a.class.php&nbsp;Class was not found!
[TIME]2016-02-09 12:02:47 ERROR:D:/Build/PHPDof/Extends/Tool/a.class.php&nbsp;Class was not found!
[TIME]2016-02-09 12:02:56 ERROR:D:/Build/PHPDof/Extends/Tool/a.class.php&nbsp;Class was not found!
[TIME]2016-02-09 12:02:57 ERROR:D:/Build/PHPDof/Extends/Tool/a.class.php&nbsp;Class was not found!
[TIME]2016-02-09 12:02:57 ERROR:D:/Build/PHPDof/Extends/Tool/a.class.php&nbsp;Class was not found!
[TIME]2016-02-09 12:02:57 ERROR:D:/Build/PHPDof/Extends/Tool/a.class.php&nbsp;Class was not found!
